pokemon,attack
venusaur,bind
venusaur,vine whip
venusaur,headbutt
venusaur,tackle
venusaur,body slam
venusaur,take down
venusaur,double edge
venusaur,growl
venusaur,roar
venusaur,hyper beam
venusaur,strength
venusaur,mega drain
venusaur,leech seed
venusaur,growth
venusaur,razor leaf
venusaur,solar beam
venusaur,poison powder
venusaur,sleep powder
venusaur,petal dance
venusaur,string shot
venusaur,earthquake
venusaur,toxic
venusaur,rage
venusaur,mimic
venusaur,double team
venusaur,defense curl
venusaur,light screen
venusaur,reflect
venusaur,bide
venusaur,amnesia
venusaur,flash
venusaur,rest
venusaur,substitute
venusaur,snore
venusaur,curse
venusaur,protect
venusaur,scary face
venusaur,sludge bomb
venusaur,mud slap
venusaur,outrage
venusaur,giga drain
venusaur,endure
venusaur,charm
venusaur,false swipe
venusaur,swagger
venusaur,fury cutter
venusaur,attract
venusaur,sleep talk
venusaur,return
venusaur,frustration
venusaur,safeguard
venusaur,sweet scent
venusaur,synthesis
venusaur,hidden power
venusaur,sunny day
venusaur,rock smash
venusaur,facade
venusaur,nature power
venusaur,helping hand
venusaur,ingrain
venusaur,knock off
venusaur,secret power
venusaur,weather ball
venusaur,bullet seed
venusaur,block
venusaur,frenzy plant
venusaur,magical leaf
venusaur,natural gift
venusaur,worry seed
venusaur,poison jab
venusaur,seed bomb
venusaur,energy ball
venusaur,earth power
venusaur,giga impact
venusaur,rock climb
venusaur,leaf storm
venusaur,power whip
venusaur,captivate
venusaur,grass knot
venusaur,venoshock
venusaur,acid spray
venusaur,round
venusaur,echoed voice
venusaur,grass pledge
venusaur,bulldoze
venusaur,work up
venusaur,petal blizzard
venusaur,grassy terrain
venusaur,confide
venusaur,stomping tantrum
venusaur,grassy glide
venusaur,terrain pulse
venusaur,tera blast
venusaur,trailblaze
charmander,mega punch
charmander,fire punch
charmander,thunder punch
charmander,scratch
charmander,swords dance
charmander,cut
charmander,wing attack
charmander,mega kick
charmander,headbutt
charmander,body slam
charmander,take down
charmander,double edge
charmander,leer
charmander,bite
charmander,growl
charmander,roar
charmander,ember
charmander,flamethrower
charmander,submission
charmander,counter
charmander,seismic toss
charmander,strength
charmander,dragon rage
charmander,fire spin
charmander,dig
charmander,toxic
charmander,rage
charmander,mimic
charmander,double team
charmander,smokescreen
charmander,defense curl
charmander,reflect
charmander,bide
charmander,fire blast
charmander,swift
charmander,skull bash
charmander,fury swipes
charmander,rest
charmander,rock slide
charmander,slash
charmander,substitute
charmander,snore
charmander,curse
charmander,protect
charmander,scary face
charmander,belly drum
charmander,mud slap
charmander,outrage
charmander,endure
charmander,false swipe
charmander,swagger
charmander,fury cutter
charmander,attract
charmander,sleep talk
charmander,return
charmander,frustration
charmander,dynamic punch
charmander,dragon breath
charmander,iron tail
charmander,metal claw
charmander,hidden power
charmander,sunny day
charmander,crunch
charmander,ancient power
charmander,rock smash
charmander,beat up
charmander,heat wave
charmander,will o wisp
charmander,facade
charmander,focus punch
charmander,helping hand
charmander,brick break
charmander,secret power
charmander,weather ball
charmander,air cutter
charmander,overheat
charmander,rock tomb
charmander,aerial ace
charmander,dragon claw
charmander,dragon dance
charmander,natural gift
charmander,fling
charmander,flare blitz
charmander,dragon pulse
charmander,dragon rush
charmander,focus blast
charmander,shadow claw
charmander,fire fang
charmander,captivate
charmander,hone claws
charmander,flame burst
charmander,flame charge
charmander,round
charmander,echoed voice
charmander,incinerate
charmander,acrobatics
charmander,inferno
charmander,fire pledge
charmander,dragon tail
charmander,work up
charmander,confide
charmander,power up punch
charmander,breaking swipe
charmander,tera blast
charmander,temper flare
charmeleon,mega punch
charmeleon,fire punch
charmeleon,thunder punch
charmeleon,scratch
charmeleon,swords dance
charmeleon,cut
charmeleon,mega kick
charmeleon,headbutt
charmeleon,body slam
charmeleon,take down
charmeleon,double edge
charmeleon,leer
charmeleon,bite
charmeleon,growl
charmeleon,roar
charmeleon,ember
charmeleon,flamethrower
charmeleon,submission
charmeleon,counter
charmeleon,seismic toss
charmeleon,strength
charmeleon,dragon rage
charmeleon,fire spin
charmeleon,dig
charmeleon,toxic
charmeleon,rage
charmeleon,mimic
charmeleon,double team
charmeleon,smokescreen
charmeleon,defense curl
charmeleon,reflect
charmeleon,bide
charmeleon,fire blast
charmeleon,swift
charmeleon,skull bash
charmeleon,fury swipes
charmeleon,rest
charmeleon,rock slide
charmeleon,slash
charmeleon,substitute
charmeleon,snore
charmeleon,curse
charmeleon,protect
charmeleon,scary face
charmeleon,belly drum
charmeleon,mud slap
charmeleon,outrage
charmeleon,endure
charmeleon,false swipe
charmeleon,swagger
charmeleon,fury cutter
charmeleon,attract
charmeleon,sleep talk
charmeleon,return
charmeleon,frustration
charmeleon,dynamic punch
charmeleon,dragon breath
charmeleon,iron tail
charmeleon,metal claw
charmeleon,hidden power
charmeleon,sunny day
charmeleon,crunch
charmeleon,ancient power
charmeleon,rock smash
charmeleon,beat up
charmeleon,heat wave
charmeleon,will o wisp
charmeleon,facade
charmeleon,focus punch
charmeleon,helping hand
charmeleon,brick break
charmeleon,secret power
charmeleon,weather ball
charmeleon,overheat
charmeleon,rock tomb
charmeleon,aerial ace
charmeleon,dragon claw
charmeleon,dragon dance
charmeleon,natural gift
charmeleon,fling
charmeleon,flare blitz
charmeleon,dragon pulse
charmeleon,dragon rush
charmeleon,focus blast
charmeleon,shadow claw
charmeleon,fire fang
charmeleon,captivate
charmeleon,hone claws
charmeleon,flame burst
charmeleon,flame charge
charmeleon,round
charmeleon,echoed voice
charmeleon,incinerate
charmeleon,acrobatics
charmeleon,inferno
charmeleon,fire pledge
charmeleon,dragon tail
charmeleon,work up
charmeleon,confide
charmeleon,power up punch
charmeleon,breaking swipe
charmeleon,tera blast
charmeleon,temper flare
charizard,mega punch
charizard,fire punch
charizard,thunder punch
charizard,scratch
charizard,swords dance
charizard,cut
charizard,wing attack
charizard,fly
charizard,mega kick
charizard,headbutt
charizard,body slam
charizard,take down
charizard,double edge
charizard,leer
charizard,bite
charizard,growl
charizard,roar
charizard,ember
charizard,flamethrower
charizard,hyper beam
charizard,submission
charizard,counter
charizard,seismic toss
charizard,strength
charizard,solar beam
charizard,dragon rage
charizard,fire spin
charizard,earthquake
charizard,fissure
charizard,dig
charizard,toxic
charizard,rage
charizard,mimic
charizard,double team
charizard,smokescreen
charizard,defense curl
charizard,reflect
charizard,bide
charizard,fire blast
charizard,swift
charizard,skull bash
charizard,fury swipes
charizard,rest
charizard,rock slide
charizard,slash
charizard,substitute
charizard,snore
charizard,curse
charizard,protect
charizard,scary face
charizard,belly drum
charizard,mud slap
charizard,outrage
charizard,sandstorm
charizard,endure
charizard,false swipe
charizard,swagger
charizard,fury cutter
charizard,steel wing
charizard,attract
charizard,sleep talk
charizard,return
charizard,frustration
charizard,dynamic punch
charizard,dragon breath
charizard,iron tail
charizard,metal claw
charizard,hidden power
charizard,twister
charizard,sunny day
charizard,crunch
charizard,ancient power
charizard,rock smash
charizard,beat up
charizard,heat wave
charizard,will o wisp
charizard,facade
charizard,focus punch
charizard,helping hand
charizard,brick break
charizard,secret power
charizard,blaze kick
charizard,blast burn
charizard,weather ball
charizard,air cutter
charizard,overheat
charizard,rock tomb
charizard,aerial ace
charizard,dragon claw
charizard,dragon dance
charizard,roost
charizard,natural gift
charizard,tailwind
charizard,fling
charizard,flare blitz
charizard,air slash
charizard,dragon pulse
charizard,dragon rush
charizard,focus blast
charizard,giga impact
charizard,shadow claw
charizard,fire fang
charizard,defog
charizard,captivate
charizard,ominous wind
charizard,hone claws
charizard,flame burst
charizard,flame charge
charizard,round
charizard,echoed voice
charizard,sky drop
charizard,incinerate
charizard,acrobatics
charizard,inferno
charizard,fire pledge
charizard,bulldoze
charizard,dragon tail
charizard,work up
charizard,heat crash
charizard,hurricane
charizard,confide
charizard,mystical fire
charizard,power up punch
charizard,brutal swing
charizard,breaking swipe
charizard,scale shot
charizard,dual wingbeat
charizard,scorching sands
charizard,tera blast
charizard,dragon cheer
charizard,temper flare
squirtle,mega punch
squirtle,ice punch
squirtle,mega kick
squirtle,headbutt
squirtle,tackle
squirtle,body slam
squirtle,take down
squirtle,double edge
squirtle,tail whip
squirtle,bite
squirtle,mist
squirtle,water gun
squirtle,hydro pump
squirtle,surf
squirtle,ice beam
squirtle,blizzard
squirtle,bubble beam
squirtle,submission
squirtle,counter
squirtle,seismic toss
squirtle,strength
squirtle,dig
squirtle,toxic
squirtle,confusion
squirtle,rage
squirtle,mimic
squirtle,double team
squirtle,withdraw
squirtle,defense curl
squirtle,haze
squirtle,reflect
squirtle,bide
squirtle,waterfall
squirtle,skull bash
squirtle,bubble
squirtle,rest
squirtle,rock slide
squirtle,substitute
squirtle,snore
squirtle,curse
squirtle,flail
squirtle,protect
squirtle,mud slap
squirtle,foresight
squirtle,icy wind
squirtle,outrage
squirtle,endure
squirtle,rollout
squirtle,false swipe
squirtle,swagger
squirtle,attract
squirtle,sleep talk
squirtle,return
squirtle,frustration
squirtle,dynamic punch
squirtle,rapid spin
squirtle,iron tail
squirtle,hidden power
squirtle,rain dance
squirtle,mirror coat
squirtle,rock smash
squirtle,whirlpool
squirtle,fake out
squirtle,hail
squirtle,facade
squirtle,focus punch
squirtle,follow me
squirtle,helping hand
squirtle,brick break
squirtle,yawn
squirtle,refresh
squirtle,secret power
squirtle,dive
squirtle,mud sport
squirtle,weather ball
squirtle,rock tomb
squirtle,water spout
squirtle,muddy water
squirtle,iron defense
squirtle,mud shot
squirtle,water pulse
squirtle,gyro ball
squirtle,brine
squirtle,natural gift
squirtle,fling
squirtle,aqua ring
squirtle,aura sphere
squirtle,aqua tail
squirtle,dragon pulse
squirtle,zen headbutt
squirtle,captivate
squirtle,aqua jet
squirtle,round
squirtle,scald
squirtle,shell smash
squirtle,water pledge
squirtle,work up
squirtle,confide
squirtle,power up punch
squirtle,liquidation
squirtle,life dew
squirtle,flip turn
squirtle,wave crash
squirtle,tera blast
squirtle,ice spinner
squirtle,chilling water
wartortle,mega punch
wartortle,ice punch
wartortle,mega kick
wartortle,headbutt
wartortle,tackle
wartortle,body slam
wartortle,take down
wartortle,double edge
wartortle,tail whip
wartortle,bite
wartortle,mist
wartortle,water gun
wartortle,hydro pump
wartortle,surf
wartortle,ice beam
wartortle,blizzard
wartortle,bubble beam
wartortle,submission
wartortle,counter
wartortle,seismic toss
wartortle,strength
wartortle,dig
wartortle,toxic
wartortle,rage
wartortle,mimic
wartortle,double team
wartortle,withdraw
wartortle,defense curl
wartortle,haze
wartortle,reflect
wartortle,bide
wartortle,waterfall
wartortle,skull bash
wartortle,bubble
wartortle,rest
wartortle,rock slide
wartortle,substitute
wartortle,snore
wartortle,curse
wartortle,flail
wartortle,protect
wartortle,mud slap
wartortle,icy wind
wartortle,outrage
wartortle,endure
wartortle,rollout
wartortle,false swipe
wartortle,swagger
wartortle,attract
wartortle,sleep talk
wartortle,return
wartortle,frustration
wartortle,dynamic punch
wartortle,rapid spin
wartortle,iron tail
wartortle,hidden power
wartortle,rain dance
wartortle,mirror coat
wartortle,rock smash
wartortle,whirlpool
wartortle,fake out
wartortle,hail
wartortle,facade
wartortle,focus punch
wartortle,helping hand
wartortle,brick break
wartortle,yawn
wartortle,secret power
wartortle,dive
wartortle,weather ball
wartortle,rock tomb
wartortle,water spout
wartortle,muddy water
wartortle,iron defense
wartortle,mud shot
wartortle,water pulse
wartortle,gyro ball
wartortle,brine
wartortle,natural gift
wartortle,fling
wartortle,aqua ring
wartortle,aura sphere
wartortle,aqua tail
wartortle,dragon pulse
wartortle,zen headbutt
wartortle,captivate
wartortle,aqua jet
wartortle,round
wartortle,scald
wartortle,shell smash
wartortle,water pledge
wartortle,work up
wartortle,confide
wartortle,power up punch
wartortle,liquidation
wartortle,life dew
wartortle,flip turn
wartortle,wave crash
wartortle,tera blast
wartortle,ice spinner
wartortle,chilling water
blastoise,mega punch
blastoise,ice punch
blastoise,mega kick
blastoise,headbutt
blastoise,tackle
blastoise,body slam
blastoise,take down
blastoise,double edge
blastoise,tail whip
blastoise,bite
blastoise,roar
blastoise,mist
blastoise,water gun
blastoise,hydro pump
blastoise,surf
blastoise,ice beam
blastoise,blizzard
blastoise,bubble beam
blastoise,hyper beam
blastoise,submission
blastoise,counter
blastoise,seismic toss
blastoise,strength
blastoise,earthquake
blastoise,fissure
blastoise,dig
blastoise,toxic
blastoise,rage
blastoise,mimic
blastoise,double team
blastoise,withdraw
blastoise,defense curl
blastoise,haze
blastoise,reflect
blastoise,bide
blastoise,waterfall
blastoise,skull bash
blastoise,bubble
blastoise,rest
blastoise,rock slide
blastoise,substitute
blastoise,snore
blastoise,curse
blastoise,flail
blastoise,protect
blastoise,scary face
blastoise,mud slap
blastoise,icy wind
blastoise,outrage
blastoise,endure
blastoise,rollout
blastoise,false swipe
blastoise,swagger
blastoise,attract
blastoise,sleep talk
blastoise,return
blastoise,frustration
blastoise,dynamic punch
blastoise,rapid spin
blastoise,iron tail
blastoise,hidden power
blastoise,rain dance
blastoise,crunch
blastoise,mirror coat
blastoise,rock smash
blastoise,whirlpool
blastoise,fake out
blastoise,hail
blastoise,facade
blastoise,focus punch
blastoise,helping hand
blastoise,brick break
blastoise,yawn
blastoise,secret power
blastoise,dive
blastoise,hydro cannon
blastoise,weather ball
blastoise,rock tomb
blastoise,water spout
blastoise,signal beam
blastoise,muddy water
blastoise,iron defense
blastoise,mud shot
blastoise,water pulse
blastoise,gyro ball
blastoise,brine
blastoise,natural gift
blastoise,fling
blastoise,aqua ring
blastoise,aura sphere
blastoise,dark pulse
blastoise,aqua tail
blastoise,dragon pulse
blastoise,focus blast
blastoise,giga impact
blastoise,avalanche
blastoise,zen headbutt
blastoise,flash cannon
blastoise,rock climb
blastoise,captivate
blastoise,aqua jet
blastoise,smack down
blastoise,round
blastoise,scald
blastoise,shell smash
blastoise,water pledge
blastoise,bulldoze
blastoise,dragon tail
blastoise,work up
blastoise,confide
blastoise,power up punch
blastoise,liquidation
blastoise,body press
blastoise,life dew
blastoise,terrain pulse
blastoise,flip turn
blastoise,wave crash
blastoise,tera blast
blastoise,ice spinner
blastoise,chilling water
caterpie,tackle
caterpie,string shot
caterpie,snore
caterpie,bug bite
caterpie,electroweb
metapod,string shot
metapod,harden
metapod,iron defense
metapod,bug bite
metapod,electroweb
butterfree,razor wind
butterfree,gust
butterfree,whirlwind
butterfree,headbutt
butterfree,tackle
butterfree,take down
butterfree,double edge
butterfree,supersonic
butterfree,psybeam
butterfree,hyper beam
butterfree,mega drain
butterfree,solar beam
butterfree,poison powder
butterfree,stun spore
butterfree,sleep powder
butterfree,string shot
butterfree,toxic
butterfree,confusion
butterfree,psychic
butterfree,rage
butterfree,teleport
butterfree,mimic
butterfree,double team
butterfree,harden
butterfree,reflect
butterfree,bide
butterfree,swift
butterfree,dream eater
butterfree,flash
butterfree,psywave
butterfree,rest
butterfree,substitute
butterfree,thief
butterfree,nightmare
butterfree,snore
butterfree,curse
butterfree,protect
butterfree,giga drain
butterfree,endure
butterfree,swagger
butterfree,attract
butterfree,sleep talk
butterfree,return
butterfree,frustration
butterfree,safeguard
butterfree,baton pass
butterfree,sweet scent
butterfree,hidden power
butterfree,twister
butterfree,rain dance
butterfree,sunny day
butterfree,psych up
butterfree,shadow ball
butterfree,facade
butterfree,skill swap
butterfree,secret power
butterfree,air cutter
butterfree,silver wind
butterfree,signal beam
butterfree,aerial ace
butterfree,iron defense
butterfree,roost
butterfree,natural gift
butterfree,tailwind
butterfree,u turn
butterfree,air slash
butterfree,bug buzz
butterfree,energy ball
butterfree,giga impact
butterfree,defog
butterfree,captivate
butterfree,bug bite
butterfree,ominous wind
butterfree,venoshock
butterfree,rage powder
butterfree,quiver dance
butterfree,round
butterfree,acrobatics
butterfree,struggle bug
butterfree,electroweb
butterfree,hurricane
butterfree,draining kiss
butterfree,confide
butterfree,infestation
butterfree,pollen puff
butterfree,dual wingbeat
weedle,poison sting
weedle,string shot
weedle,bug bite
weedle,electroweb
kakuna,string shot
kakuna,harden
kakuna,iron defense
kakuna,bug bite
kakuna,electroweb
beedrill,swords dance
beedrill,cut
beedrill,headbutt
beedrill,fury attack
beedrill,take down
beedrill,double edge
beedrill,poison sting
beedrill,twineedle
beedrill,pin missile
beedrill,hyper beam
beedrill,peck
beedrill,mega drain
beedrill,solar beam
beedrill,string shot
beedrill,toxic
beedrill,agility
beedrill,rage
beedrill,mimic
beedrill,double team
beedrill,harden
beedrill,reflect
beedrill,focus energy
beedrill,bide
beedrill,swift
beedrill,skull bash
beedrill,flash
beedrill,rest
beedrill,substitute
beedrill,thief
beedrill,snore
beedrill,curse
beedrill,protect
beedrill,sludge bomb
beedrill,outrage
beedrill,giga drain
beedrill,endure
beedrill,false swipe
beedrill,swagger
beedrill,fury cutter
beedrill,attract
beedrill,sleep talk
beedrill,return
beedrill,frustration
beedrill,pursuit
beedrill,sweet scent
beedrill,hidden power
beedrill,sunny day
beedrill,rock smash
beedrill,facade
beedrill,brick break
beedrill,knock off
beedrill,endeavor
beedrill,secret power
beedrill,air cutter
beedrill,silver wind
beedrill,aerial ace
beedrill,roost
beedrill,natural gift
beedrill,tailwind
beedrill,u turn
beedrill,payback
beedrill,assurance
beedrill,toxic spikes
beedrill,poison jab
beedrill,x scissor
beedrill,giga impact
beedrill,defog
beedrill,captivate
beedrill,bug bite
beedrill,ominous wind
beedrill,venoshock
beedrill,round
beedrill,acrobatics
beedrill,struggle bug
beedrill,electroweb
beedrill,drill run
beedrill,fell stinger
beedrill,confide
beedrill,infestation
beedrill,laser focus
beedrill,throat chop
beedrill,brutal swing
pidgey,razor wind
pidgey,gust
pidgey,wing attack
pidgey,whirlwind
pidgey,fly
pidgey,sand attack
pidgey,headbutt
pidgey,tackle
pidgey,take down
pidgey,double edge
pidgey,toxic
pidgey,agility
pidgey,quick attack
pidgey,rage
pidgey,mimic
pidgey,double team
pidgey,reflect
pidgey,bide
pidgey,mirror move
pidgey,swift
pidgey,sky attack
pidgey,rest
pidgey,substitute
pidgey,thief
pidgey,snore
pidgey,curse
pidgey,protect
pidgey,feint attack
pidgey,mud slap
pidgey,foresight
pidgey,detect
pidgey,endure
pidgey,swagger
pidgey,steel wing
pidgey,attract
pidgey,sleep talk
pidgey,return
pidgey,frustration
pidgey,pursuit
pidgey,hidden power
pidgey,twister
pidgey,rain dance
pidgey,sunny day
pidgey,uproar
pidgey,heat wave
pidgey,facade
pidgey,secret power
pidgey,feather dance
pidgey,air cutter
pidgey,aerial ace
pidgey,roost
pidgey,natural gift
pidgey,pluck
pidgey,tailwind
pidgey,u turn
pidgey,air slash
pidgey,brave bird
pidgey,defog
pidgey,captivate
pidgey,ominous wind
pidgey,round
pidgey,work up
pidgey,hurricane
pidgey,confide
pidgeotto,razor wind
pidgeotto,gust
pidgeotto,wing attack
pidgeotto,whirlwind
pidgeotto,fly
pidgeotto,sand attack
pidgeotto,headbutt
pidgeotto,tackle
pidgeotto,take down
pidgeotto,double edge
pidgeotto,toxic
pidgeotto,agility
pidgeotto,quick attack
pidgeotto,rage
pidgeotto,mimic
pidgeotto,double team
pidgeotto,reflect
pidgeotto,bide
pidgeotto,mirror move
pidgeotto,swift
pidgeotto,sky attack
pidgeotto,rest
pidgeotto,substitute
pidgeotto,thief
pidgeotto,snore
pidgeotto,curse
pidgeotto,protect
pidgeotto,mud slap
pidgeotto,detect
pidgeotto,endure
pidgeotto,swagger
pidgeotto,steel wing
pidgeotto,attract
pidgeotto,sleep talk
pidgeotto,return
pidgeotto,frustration
pidgeotto,hidden power
pidgeotto,twister
pidgeotto,rain dance
pidgeotto,sunny day
pidgeotto,uproar
pidgeotto,heat wave
pidgeotto,facade
pidgeotto,secret power
pidgeotto,feather dance
pidgeotto,air cutter
pidgeotto,aerial ace
pidgeotto,roost
pidgeotto,natural gift
pidgeotto,pluck
pidgeotto,tailwind
pidgeotto,u turn
pidgeotto,air slash
pidgeotto,defog
pidgeotto,captivate
pidgeotto,ominous wind
pidgeotto,round
pidgeotto,work up
pidgeotto,hurricane
pidgeotto,confide
pidgeot,razor wind
pidgeot,gust
pidgeot,wing attack
pidgeot,whirlwind
pidgeot,fly
pidgeot,sand attack
pidgeot,headbutt
pidgeot,tackle
pidgeot,take down
pidgeot,double edge
pidgeot,hyper beam
pidgeot,toxic
pidgeot,agility
pidgeot,quick attack
pidgeot,rage
pidgeot,mimic
pidgeot,double team
pidgeot,reflect
pidgeot,bide
pidgeot,mirror move
pidgeot,swift
pidgeot,sky attack
pidgeot,rest
pidgeot,substitute
pidgeot,thief
pidgeot,snore
pidgeot,curse
pidgeot,protect
pidgeot,mud slap
pidgeot,detect
pidgeot,endure
pidgeot,swagger
pidgeot,steel wing
pidgeot,attract
pidgeot,sleep talk
pidgeot,return
pidgeot,frustration
pidgeot,hidden power
pidgeot,twister
pidgeot,rain dance
pidgeot,sunny day
pidgeot,uproar
pidgeot,heat wave
pidgeot,facade
pidgeot,secret power
pidgeot,feather dance
pidgeot,air cutter
pidgeot,aerial ace
pidgeot,roost
pidgeot,natural gift
pidgeot,pluck
pidgeot,tailwind
pidgeot,u turn
pidgeot,air slash
pidgeot,giga impact
pidgeot,defog
pidgeot,captivate
pidgeot,ominous wind
pidgeot,round
pidgeot,work up
pidgeot,hurricane
pidgeot,confide
pidgeot,laser focus
rattata,cut
rattata,headbutt
rattata,tackle
rattata,body slam
rattata,take down
rattata,double edge
rattata,tail whip
rattata,bite
rattata,water gun
rattata,ice beam
rattata,blizzard
rattata,bubble beam
rattata,counter
rattata,thunderbolt
rattata,thunder wave
rattata,thunder
rattata,dig
rattata,toxic
rattata,quick attack
rattata,rage
rattata,mimic
rattata,screech
rattata,double team
rattata,defense curl
rattata,focus energy
rattata,bide
rattata,swift
rattata,skull bash
rattata,fury swipes
rattata,rest
rattata,hyper fang
rattata,super fang
rattata,substitute
rattata,thief
rattata,flame wheel
rattata,snore
rattata,curse
rattata,reversal
rattata,protect
rattata,sludge bomb
rattata,mud slap
rattata,icy wind
rattata,endure
rattata,swagger
rattata,attract
rattata,sleep talk
rattata,return
rattata,frustration
rattata,pursuit
rattata,iron tail
rattata,hidden power
rattata,rain dance
rattata,sunny day
rattata,crunch
rattata,shadow ball
rattata,rock smash
rattata,uproar
rattata,facade
rattata,taunt
rattata,revenge
rattata,endeavor
rattata,secret power
rattata,covet
rattata,shock wave
rattata,natural gift
rattata,pluck
rattata,u turn
rattata,assurance
rattata,me first
rattata,last resort
rattata,sucker punch
rattata,zen headbutt
rattata,captivate
rattata,grass knot
rattata,charge beam
rattata,round
rattata,retaliate
rattata,final gambit
rattata,work up
rattata,wild charge
rattata,confide
rattata,laser focus
raticate,swords dance
raticate,cut
raticate,headbutt
raticate,tackle
raticate,body slam
raticate,take down
raticate,double edge
raticate,tail whip
raticate,bite
raticate,roar
raticate,water gun
raticate,ice beam
raticate,blizzard
raticate,bubble beam
raticate,hyper beam
raticate,counter
raticate,strength
raticate,thunderbolt
raticate,thunder wave
raticate,thunder
raticate,dig
raticate,toxic
raticate,quick attack
raticate,rage
raticate,mimic
raticate,double team
raticate,defense curl
raticate,focus energy
raticate,bide
raticate,swift
raticate,skull bash
raticate,fury swipes
raticate,rest
raticate,hyper fang
raticate,super fang
raticate,substitute
raticate,thief
raticate,snore
raticate,curse
raticate,protect
raticate,scary face
raticate,sludge bomb
raticate,mud slap
raticate,icy wind
raticate,endure
raticate,swagger
raticate,attract
raticate,sleep talk
raticate,return
raticate,frustration
raticate,pursuit
raticate,iron tail
raticate,hidden power
raticate,rain dance
raticate,sunny day
raticate,crunch
raticate,shadow ball
raticate,rock smash
raticate,uproar
raticate,facade
raticate,taunt
raticate,endeavor
raticate,secret power
raticate,covet
raticate,shock wave
raticate,natural gift
raticate,pluck
raticate,u turn
raticate,assurance
raticate,last resort
raticate,sucker punch
raticate,giga impact
raticate,zen headbutt
raticate,captivate
raticate,grass knot
raticate,charge beam
raticate,round
raticate,retaliate
raticate,work up
raticate,wild charge
raticate,confide
raticate,laser focus
raticate,throat chop
raticate,stomping tantrum
spearow,razor wind
